Hash,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
ee75efc9fe3b8a9eb69f0b5460f99ba6c9cd6a2d68a009158de1bbc9279f7493,Gearbox,Immunefi,200000,343000,419,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-01-09 14:39:47.361000+00:00
03d2f97285e4d331c9cb9f1c75a729b2a88a735e05282b61e566f8492e377db2,pNetwork,Immunefi,200000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-26 17:29:13.269000+00:00
1b59549a440bf383c50f7cfddac3f1de18340abf0ab994ec86dcef54b51e9561,SpookySwap,Immunefi,200000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-24 16:25:31.646000+00:00
8638b396efe47d393109b1290a1c2b3efa377889b46d138c17185368c13878fb,Gains Network,Immunefi,400000,118000,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-08-01 21:42:07.807000+00:00
61d36ae07b23a5fc6b6e25165dc6dd30c75ae6c9ff484057975db29b28b1e254,Enzyme Finance,Immunefi,400000,536000,114,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-28 00:42:55.201000+00:00
1c73824bf3375e889a84a8393072520be48372d7f89a6b76b29d71cc0a9badcc,Ribbon,Immunefi,300000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-26 17:14:11.899000+00:00
94c3d113f6ca6988b1c78dba9d01cbd990fa821133c8919680a3496a2545c068,Popcorn,Immunefi,150000,26000,4397,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-28 17:05:45.157000+00:00
d9ace973c6b8736bbdc0e4793e9b5811e99d1035fd0087fd91a1a4d2467bea13,88mphV3,Immunefi,100420,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 13:56:46.842000+00:00
ba274415dbf68cc5513c13ce70472c0759fbd4a5eb56cebb301322a9e2f5d3bd,Bonfida,Immunefi,100000,0,0,"Rust","Rust","Rust","Rust","Rust",2023-08-05 03:10:01.401000+00:00
3d07ce9b1879c7b9c2a41b4e1126c6b614d03f709f06e464a1e45bf15b429fae,Utix,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-27 19:08:16.478000+00:00
0a0957a4776a053d2d52c9bf998ee07e1dbfb9c5379c207147bb61760b71ae5a,Linea,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-11 12:13:01.551000+00:00
a42e4ddc1275e6b85c333068644608b5cbf110d58054a5fdaf260ac0bb6cdd11,Velodrome Finance,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-19 16:14:42.923000+00:00
70267788a064f6426b9556f158fbb576c792600eec5ad5591b04f35fc0b28e98,Push Protocol,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-21 17:32:20.276000+00:00
60d504516811738b60c81da7bfed8ec986b748899a5d38bba8b8a0c6265f5f96,Lybra Finance,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-30 19:51:23.544000+00:00
74fe7d9afeaed5c2961d066edb946d5297f4f28169a520d8025283e40b18a3fe,Trader Joe,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-19 14:13:58.870000+00:00
6a45762c19ee5e1fc93c4af076bc85c0f3a0fda6f6df582418d4eb8c976050f4,Chronos,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-03 05:32:32.453000+00:00
1df814a26b844266cc1a411d65d1f85271fbb380a6571617fa852f1a5a04ba0b,IPOR,Immunefi,100000,1000,646,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-04-19 13:38:54.877000+00:00
33b2e0fb8bd0d0bb6574b2cb6167a40cdbb74c686af4b4200da2429b3675bc89,Uniwhale,Immunefi,100000,21200,371,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-01 11:54:43.137000+00:00
afbbee70e8e4ff1c9121794e3ef2aa55d29c2e85f47eb656f756d6512d3196b2,Metronome,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-02-23 16:27:52.205000+00:00
3307881c00a7abfdd2aac79c19078f548a1a58637ff05b1a92e8e8da90c08dff,DFX Finance,Immunefi,100000,128000,2915,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-02-13 17:56:49.386000+00:00
ca47c283b0a19950a39fb8788ce381d3d79646eeda8217d6e2654d422480fd4b,Mars Protocol,Immunefi,100000,20000,0,"Rust","Rust","Rust","Rust","Rust",2023-08-08 23:00:52.311000+00:00
4ac495616c61941c3da825c6ec9a5f7796f1afb16a005d84343efff95816f78f,Pods,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-01 03:15:43.463000+00:00
c3205e05cf93a0363684527d16c2fe6e2d80a8ce1f98c983a1e90fc288b5f09a,Geode Finance,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-03-08 15:58:14.915000+00:00
b28de340c0da93fef847e092ba4a1d2d0fc33d04b0ce3b6ca0a5da5369277cf2,Revert,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-11-15 18:26:02.847000+00:00
b914464e0448b36193b0ef0b08b63bbfee4a0a0ec4c449914869d8791a023fea,Router,Immunefi,200000,103755,7048,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 14:03:24.991000+00:00
040c20486e8fe1e0113e36e5baa4245b4c32ba602275e247d5e8e24c8fccd244,Yearn Finance,Immunefi,200000,207500,156,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-17 20:30:58.691000+00:00
93c983dc3604142f5b941c271a4b90c24e0caaf76c9655277a3991489fd0f9f8,SushiSwap,Immunefi,200000,469101,9577,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-10 22:27:11.520000+00:00
2460a5aed592069968217d1c51da5df5f5f8c7b8d4344585d7ee2510b0777ccf,Ocean Protocol,Immunefi,100000,666000,12699,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-04 16:53:40.990000+00:00
545484e054aff9967aa6e24a9797318b9d0e7d92f66e92477b928b2cc68e4274,Sturdy,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-11-01 15:17:22.106000+00:00
df13a3dbf1ad2a7ed31f61b285b352ee3931a625cfd941ef4e221c228feab8e1,Superfluid,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-06 03:27:31.742000+00:00
57220785d0edcd15e260455c7d5e55e1f751f0248e8ed0d638d225bfee09de17,WePiggy,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-12-13 04:26:39.424000+00:00
4dd46615ad415110840134dfc11fe7a6e7a2134efa597ef7eb2626068ba49dd8,WOOFi,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-04-14 16:15:30.597000+00:00
b59c76eb8c6722751b0dd57a0bce798a3970adc3caaaa494fc41e54dd0587417,IDEX,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 14:00:39.620000+00:00
1b0566acf3b2fc5968c0cb220027f840dc408f5925fa19f81bac981d4047c6a8,Astroport,Immunefi,100000,0,0,"Rust","Rust","Rust","Rust","Rust",2023-03-28 12:35:43.750000+00:00
87f02f23d507a77e7ad009b2c4ef19f5e0353a6a55141897844f2a84c6625fa7,Rai,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-01-02 22:09:55.791000+00:00
e5cb2161664f80a226f1491e8664f8e28e442dd278764da3019d93ab65067024,BiFi,Immunefi,100000,250,2133,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-07-18 15:15:40.902000+00:00
3114bd2b3c9a88cf16cc396de03cae444717b92eb2043dc6f37e19bdfb19ddc7,Polkastarter,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-19 23:06:57.350000+00:00
ca20c8d22f1443a3432df4bb395bab083c7fb4b486bc0ebac7c8877f85ed8aef,Jet Protocol,Immunefi,100000,165500,10542,"Rust","Rust","Rust","Rust","Rust",2022-10-13 14:00:57.922000+00:00
e0ae3f23ab0880995a159b6d92efe644f5ced97d06afa6f9374b749ce2fb3831,Popsicle,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-03-08 17:43:58.012000+00:00
b8ed643f6e6145c5a681da2a7d9987a3e7b682db93c6338123ed327b07745aca,CoinFLEX,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 13:58:52.017000+00:00
9517229eda1f7fb76aee09a4cb956f09b21dc0471a7f17f7a5f5beb4cd1719b2,dForce,Immunefi,100000,0,4472,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-11-18 16:08:44.318000+00:00
13b9a67af141f84cbb5d788999a2f311a6bfaa7dca12afebf03150ff348114ce,BProtocol,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-26 17:43:46.203000+00:00
439b674c7cb8381652c159898b643a9d2fa6ebaa9f9d8931f4b90a48963eb594,Alpaca Finance,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-03 05:38:05.058000+00:00
cc3e42a14d87253b88b9603750dde6b076df51c3f64cd18cc53ed05b33e125de,MUX,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-03-08 18:34:18.748000+00:00
051326179bdc092b3cbfb1d557f8326fc581ec7a3c1ba25c882767b9e6f07db3,DODO,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-05-07 17:38:25.510000+00:00
d302f66820e7e6f6d747682435ab7a3390c3981d3a7a7ecbe3800dedb80a19e5,Shadow Farm,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 14:03:32.794000+00:00
b4c9c8115aaaf958f5e00f31c80bcd3849ff06146946f4d27fe00572c68d4f49,Ease,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2022-10-13 13:59:30.748000+00:00
efa46056ec8491f418136b9b5c5104d4a87bd7ba02be960223a7ca5fe29c2424,Summer.fi,Immunefi,100000,26000,2093,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-06-26 16:44:11.985000+00:00
abd6312a413a3687dc05770b267e013f5429c16d3cb02c278235b0a93f0f387e,Synthetix,Immunefi,100000,0,0,"Solidity","Solidity","Solidity","Solidity","Solidity",2023-03-08 17:55:10.327000+00:00
